CC,SLIC,SORT,CAP,SPAN,STRT
US,7049,P,5040,403,400
US,7050,L,4234,328,1700
US,7050,P,4640,403,400
US,7051,L,3864,328,1700
US,7051,P,1425,403,400
US,7052,L,4110,328,1700
US,7052,P,1425,403,400
US,7059,S,910000,403,300
US,7059,T,1019999,403,1700
US,7069,L,3288,328,1700
US,7069,N,20000,403,2200
US,7069,P,6000,403,400
US,7080,L,3165,328,1700
US,7080,P,2000,403,400
US,7089,L,3151,328,1700
US,7089,P,6480,403,400
US,7109,T,1139999,403,1700
US,7119,N,20000,403,2200
US,7119,P,5700,403,400
US,7119,T,20000,403,1700
US,7120,L,4316,328,1700
US,7120,P,2375,403,400
US,7122,L,1665,328,1700
US,7122,P,1370,403,400
US,7123,L,3699,328,1700
US,7123,P,1302,403,400
US,7130,L,3124,328,1700
US,7130,P,4650,403,400
US,7140,L,1994,328,1700
US,7140,P,1425,403,400
US,7149,S,1239999,403,300
US,7160,L,5015,328,1700
US,7160,P,2160,403,400
US,7161,L,3741,328,1700
US,7161,P,1507,403,400
US,7170,L,2138,328,1700
US,7170,P,1206,403,400
US,7171,L,2076,328,1700
US,7171,P,1439,403,400
US,7180,L,4768,328,1700
US,7180,P,3720,403,400
US,7189,P,1119999,403,400
US,7190,L,5138,328,1700
US,7190,P,2040,403,400
US,7191,L,1542,328,1700
US,7191,P,1549,403,400
US,7192,P,900000,403,400
US,7200,L,3083,328,1700
US,7200,P,1083,403,400
US,7209,M,750000,400,600
US,7209,S,4050,403,300
US,7209,T,3900,403,1700
US,7210,L,3247,328,1700
US,7210,P,2080,403,400
US,7229,N,76000,403,2200
US,7229,P,30914,403,400
US,7229,T,76000,403,1700
US,7230,L,4686,328,1700
US,7230,P,1288,403,400
US,7231,L,2055,328,1700
US,7231,P,1412,403,400
US,7240,L,3494,328,1700
US,7240,P,2000,403,400
US,7241,L,2240,328,1700
US,7241,P,1617,403,400
US,7250,L,4563,328,1700
US,7250,P,1549,403,400
US,7260,L,3124,328,1700
US,7260,P,1980,403,400
US,7263,L,2528,328,1700
US,7263,P,1699,403,400
US,7270,L,9500,328,1700
US,7270,P,11500,403,400
US,7280,L,4028,328,1700
US,7280,P,3025,403,400
US,7290,L,4727,328,1700
US,7290,P,3150,403,400
US,7309,S,831,403,300
US,7309,T,613,403,1700
US,7319,A,1189999,150,900
US,7319,N,88000,403,2200
US,7319,P,11304,403,400
US,7319,S,88000,403,300
US,7319,T,88000,403,1700
US,7340,L,3509,328,1700
US,7340,P,1840,403,400
US,7350,L,3293,328,1700
US,7350,P,2340,403,400
US,7351,L,3135,328,1700
US,7351,P,1486,403,400
US,7360,L,5092,328,1700
US,7360,P,1700,403,400
US,7369,S,1009999,403,300
US,7370,L,5167,328,1700
US,7370,P,2500,403,400
US,7380,L,7250,328,1700
US,7380,P,2480,403,400
US,7390,L,3407,328,1700
US,7390,P,1345,403,400
US,7401,L,5943,328,1700
US,7401,P,1535,403,400
US,7409,S,1009,403,300
US,7409,T,624,403,1700
US,7419,P,12652,403,400
US,7419,T,20000,403,1700
US,7430,L,4431,328,1700
US,7430,P,2060,403,400
US,7440,L,3985,328,1700
US,7440,P,1520,403,400
US,7450,L,4403,328,1700
US,7450,P,1500,403,400
US,7460,L,5163,328,1700
US,7460,P,1055,403,400
US,7470,L,2560,328,1700
US,7470,P,1394,403,400
US,7479,S,1059999,403,300
US,7480,L,5077,328,1700
US,7480,P,2650,403,400
US,7492,L,2061,328,1700
US,7492,P,1679,403,400
US,7502,L,4384,328,1700
US,7502,P,2900,403,400
US,7511,P,1069999,403,400
US,7519,D,91000,478,1100
US,7519,N,91000,403,2200
US,7519,P,9068,403,400
US,7519,T,91000,403,1700
US,7523,P,870000,403,400
US,7526,P,940000,403,400
US,7529,N,97000,403,2200
US,7529,P,15056,403,400
US,7529,T,97000,403,1700
US,7539,S,1119999,403,300
US,7540,L,3381,328,1700
US,7540,P,2875,403,400
US,7560,L,5737,328,1700
US,7560,P,6461,403,400
US,7570,L,1934,328,1700
US,7570,P,6512,403,400
US,7580,L,4280,328,1700
US,7580,P,2475,403,400
US,7590,L,1686,328,1700
US,7590,P,3630,403,400
US,7600,L,2389,328,1700
US,7600,P,3280,403,400
US,7601,L,2946,328,1700
US,7601,P,1680,403,400
US,7619,P,17010,403,400
US,7619,T,28000,403,1700
US,7620,L,5817,328,1700
US,7620,P,5040,403,400
US,7631,L,2206,328,1700
US,7631,P,1365,403,400
US,7639,L,4891,328,1700
US,7639,N,108999,403,2200
US,7639,P,2425,403,400
US,7645,L,980000,328,1700
US,7649,D,28819,478,1100
US,7649,P,10920,403,400
US,7649,S,18440,403,300
US,7649,T,37959,403,1700
US,7652,L,3042,328,1700
US,7652,P,3840,403,400
US,7669,S,1695,403,300
US,7669,T,1260,403,1700
US,7670,L,2988,328,1700
US,7670,P,4080,403,400
US,7680,L,4069,328,1700
US,7680,P,2275,403,400
US,7690,L,3905,328,1700
US,7690,P,2625,403,400
US,7709,N,60000,403,2200
US,7709,P,12654,403,400
US,7709,S,60000,403,300
US,7709,T,60000,403,1700
US,7724,L,11656,328,1700
US,7724,P,11865,403,400
US,7729,A,1059999,150,900
US,7729,M,1119999,400,600
US,7729,S,1800,403,300
US,7729,T,5400,403,1700
US,7730,L,4275,328,1700
US,7730,P,3160,403,400
US,7749,P,24797,403,400
US,7749,T,33000,403,1700
US,7750,L,3371,328,1700
US,7750,P,2040,403,400
US,7752,L,3946,328,1700
US,7752,P,2150,403,400
US,7753,L,3494,328,1700
US,7753,P,1800,403,400
US,7756,L,2425,328,1700
US,7756,P,4280,403,400
US,7759,L,10740,328,1700
US,7759,P,13480,403,400
US,7760,L,3946,328,1700
US,7760,P,1540,403,400
US,7770,L,3247,328,1700
US,7770,P,4800,403,400
US,7780,L,5015,328,1700
US,7780,P,1780,403,400
US,7790,L,4809,328,1700
US,7790,P,2340,403,400
US,7800,L,3576,328,1700
US,7800,P,2760,403,400
US,7801,L,3864,328,1700
US,7801,P,1960,403,400
US,7805,L,2117,328,1700
US,7805,P,1605,403,400
US,7811,L,2425,328,1700
US,7811,P,1288,403,400
US,7821,L,4152,328,1700
US,7821,P,2400,403,400
US,7829,N,38000,403,2200
US,7829,P,17325,403,400
US,7829,S,38000,403,300
US,7829,T,38000,403,1700
US,7849,L,3083,328,1700
US,7849,N,20000,403,2200
US,7849,P,8082,403,400
US,7850,L,4932,328,1700
US,7850,P,1124,403,400
US,7851,L,2710,328,1700
US,7851,P,6128,403,400
US,7852,L,3247,328,1700
US,7852,P,2575,403,400
US,7859,S,1215,403,300
US,7859,T,1155,403,1700
US,7860,L,3124,328,1700
US,7860,P,1780,403,400
US,7879,P,15840,403,400
US,7879,S,114999,403,300
US,7879,T,38000,403,1700
US,7880,L,1583,328,1700
US,7880,P,1343,403,400
US,7882,L,2158,328,1700
US,7882,P,1425,403,400
US,7884,L,1871,328,1700
US,7884,P,1124,403,400
US,7900,L,5436,328,1700
US,7900,P,1940,403,400
US,7901,L,7864,328,1700
US,7901,P,1605,403,400
US,7919,M,1089999,400,600
US,7919,S,1305,403,300
US,7919,T,890000,403,1700
US,7939,L,3604,328,1700
US,7939,P,5678,403,400
US,7939,S,1239999,403,300
US,7940,L,8670,328,1700
US,7940,P,6532,403,400
US,7959,S,1049999,403,300
US,7960,L,4197,328,1700
US,7960,P,3520,403,400
US,7976,L,3165,328,1700
US,7976,P,1110,403,400
US,7979,L,4069,328,1700
US,7979,P,2350,403,400
US,7979,S,870000,403,300
US,7980,L,2076,328,1700
US,7980,P,1083,403,400
US,7999,P,8470,403,400
US,7999,T,20000,403,1700
US,8010,L,23869,328,1700
US,8010,P,9840,403,400
US,8029,N,154000,403,2200
US,8029,P,16001,403,400
US,8029,S,154000,403,300
US,8029,T,154000,403,1700
US,8030,L,5143,328,1700
US,8030,P,2160,403,400
US,8039,S,9180,403,300
US,8039,T,13750,403,1700
US,8040,L,6742,328,1700
US,8040,P,1840,403,400
US,8046,L,4022,328,1700
US,8046,P,1868,403,400
US,8050,L,5880,328,1700
US,8050,P,4900,403,400
US,8057,L,5097,328,1700
US,8057,P,4200,403,400
US,8063,L,5335,328,1700
US,8063,P,1800,403,400
US,8070,L,6074,328,1700
US,8070,P,1640,403,400
US,8080,L,2043,328,1700
US,8080,P,1320,403,400
US,8095,L,14143,328,1700
US,8095,P,6880,403,400
US,8101,L,2356,328,1700
US,8101,P,1425,403,400
US,8102,L,5230,328,1700
US,8102,P,1580,403,400
US,8105,L,2337,328,1700
US,8105,P,1695,403,400
US,8109,L,2800,328,1700
US,8109,P,1875,403,400
US,8110,L,2792,328,1700
US,8110,P,1740,403,400
US,8113,L,2228,328,1700
US,8113,P,1590,403,400
US,8120,L,3252,328,1700
US,8120,P,1170,403,400
US,8121,L,2560,328,1700
US,8121,P,1410,403,400
US,8130,L,6753,328,1700
US,8130,P,2240,403,400
US,8140,L,5350,328,1700
US,8140,P,1760,403,400
US,8159,L,6320,328,1700
US,8159,N,20000,403,2200
US,8159,P,2420,403,400
US,8161,L,5742,328,1700
US,8161,P,2300,403,400
US,8162,L,2407,328,1700
US,8162,P,1545,403,400
US,8200,L,3471,328,1700
US,8200,P,2080,403,400
US,8201,L,3307,328,1700
US,8201,P,1605,403,400
US,8230,L,2288,328,1700
US,8230,P,1079,403,400
US,8240,L,3031,328,1700
US,8240,P,1800,403,400
US,8259,L,3578,328,1700
US,8259,P,2080,403,400
US,8269,N,20000,403,2200
US,8269,P,3240,403,400
US,8269,T,20000,403,1700
US,8270,L,5455,328,1700
US,8270,P,1960,403,400
US,8280,L,2157,328,1700
US,8280,P,1815,403,400
US,8290,L,5935,328,1700
US,8290,P,1840,403,400
US,8293,L,2284,328,1700
US,8293,P,1633,403,400
US,8300,L,6287,328,1700
US,8300,P,2250,403,400
US,8320,L,4363,328,1700
US,8320,P,1875,403,400
US,8321,L,2250,328,1700
US,8321,P,1494,403,400
US,8329,S,999999,403,300
US,8329,T,11225,403,1700
US,8331,L,2121,328,1700
US,8331,P,1442,403,400
US,8332,L,3522,328,1700
US,8332,P,1441,403,400
US,8339,L,4985,328,1700
US,8339,P,1754,403,400
US,8342,L,2179,328,1700
US,8342,P,1147,403,400
US,8346,L,2467,328,1700
US,8346,P,1545,403,400
US,8349,L,3277,328,1700
US,8349,P,2700,403,400
US,8350,L,5317,328,1700
US,8350,P,1561,403,400
US,8351,L,2930,328,1700
US,8351,P,1136,403,400
US,8360,L,2185,328,1700
US,8360,P,1776,403,400
US,8361,L,4024,328,1700
US,8361,P,1585,403,400
US,8362,L,1893,328,1700
US,8362,P,1800,403,400
US,8379,N,20000,403,2200
US,8379,P,6000,403,400
US,8379,T,20000,403,1700
US,8380,L,4985,328,1700
US,8380,P,1451,403,400
US,8383,L,3825,328,1700
US,8383,P,1820,403,400
US,8400,L,2365,328,1700
US,8400,P,1592,403,400
US,8419,D,40293,478,1100
US,8419,N,39359,403,2200
US,8419,P,12200,403,400
US,8419,S,18554,403,300
US,8419,T,60000,403,1700
US,8429,S,3880,403,300
US,8429,T,4800,403,1700
US,8430,L,4453,328,1700
US,8430,P,1900,403,400
US,8438,L,1039999,328,1700
US,8440,L,4845,328,1700
US,8440,P,9150,403,400
US,8450,L,2012,328,1700
US,8450,P,1452,403,400
US,8451,L,2488,328,1700
US,8451,P,1375,403,400
US,8459,L,5887,328,1700
US,8459,P,1875,403,400
US,8460,L,11692,328,1700
US,8460,P,5320,403,400
US,8461,L,4739,328,1700
US,8461,P,1608,403,400
US,8470,L,3060,328,1700
US,8470,P,1770,403,400
US,8471,L,2545,328,1700
US,8471,P,2325,403,400
US,8472,L,5056,328,1700
US,8472,P,1640,403,400
US,8509,D,128000,478,1100
US,8509,N,128000,403,2200
US,8509,P,16200,403,400
US,8509,S,123999,403,300
US,8509,T,128000,403,1700
US,8519,S,3510,403,300
US,8519,T,2790,403,1700
US,8521,L,6157,328,1700
US,8521,P,24800,403,400
US,8523,L,4697,328,1700
US,8523,P,1398,403,400
US,8529,P,15136,403,400
US,8529,T,21947,403,1700
US,8530,L,3782,328,1700
US,8530,P,2825,403,400
US,8531,L,1402,328,1700
US,8531,P,4858,403,400
US,8535,P,1815,403,400
US,8550,L,2443,328,1700
US,8550,P,1616,403,400
US,8551,L,3145,328,1700
US,8551,P,1783,403,400
US,8552,L,3165,328,1700
US,8552,P,1801,403,400
US,8560,L,4234,328,1700
US,8560,P,2525,403,400
US,8565,L,3353,328,1700
US,8565,P,2800,403,400
US,8577,L,1009999,328,1700
US,8579,L,3803,328,1700
US,8579,P,10605,403,400
US,8590,L,6069,328,1700
US,8590,P,1442,403,400
US,8600,L,5124,328,1700
US,8600,P,1446,403,400
US,8601,L,3077,328,1700
US,8601,P,1351,403,400
US,8602,L,1794,328,1700
US,8602,P,1229,403,400
US,8630,L,4643,328,1700
US,8630,P,2032,403,400
US,8631,L,7493,328,1700
US,8631,P,1154,403,400
US,8640,L,2214,328,1700
US,8640,P,1395,403,400
US,8641,L,2466,328,1700
US,8641,P,1780,403,400
US,8644,L,1987,328,1700
US,8644,P,1152,403,400
US,8700,L,3488,328,1700
US,8700,P,1631,403,400
US,8701,L,2158,328,1700
US,8701,P,1533,403,400
US,8711,A,1089999,150,900
US,8711,L,6287,328,1700
US,8711,P,6000,403,400
US,8719,D,58000,478,1100
US,8719,N,58000,403,2200
US,8719,P,3734,403,400
US,8719,S,58000,403,300
US,8719,T,58000,403,1700
US,8729,S,1980,403,300
US,8729,T,1980,403,1700
US,8730,L,3744,328,1700
US,8730,P,1431,403,400
US,8740,L,4026,328,1700
US,8740,P,1680,403,400
US,8750,L,4839,328,1700
US,8750,P,4250,403,400
US,8751,L,5513,328,1700
US,8751,P,2350,403,400
US,8770,L,2529,328,1700
US,8770,P,1710,403,400
US,8771,L,3638,328,1700
US,8771,P,1740,403,400
US,8780,L,5709,328,1700
US,8780,P,1590,403,400
US,8800,L,3463,328,1700
US,8800,P,2500,403,400
US,8801,L,2577,328,1700
US,8801,P,1770,403,400
US,8802,L,3079,328,1700
US,8802,P,1712,403,400
US,8810,L,5033,328,1700
US,8810,P,2140,403,400
US,8820,L,2904,328,1700
US,8820,P,1230,403,400
US,8821,L,6907,328,1700
US,8821,P,1413,403,400
US,8822,L,2667,328,1700
US,8822,P,1500,403,400
US,8830,L,5976,328,1700
US,8830,P,2500,403,400
US,8840,L,4705,328,1700
US,8840,P,1241,403,400
US,8900,L,2683,328,1700
US,8900,P,830,403,400
US,8909,L,14707,328,1700
US,8909,P,10584,403,400
US,8919,L,12942,328,1700
US,8919,P,10300,403,400
US,8930,L,2991,328,1700
US,8930,P,1154,403,400
US,8939,L,2068,328,1700
US,8939,P,1845,403,400
US,8939,S,99999,403,300
US,8940,L,3239,328,1700
US,8940,P,1189,403,400
US,8941,L,5415,328,1700
US,8941,P,1908,403,400
US,8941,S,95000,403,300
US,8944,L,940000,328,1700
US,8951,L,910000,328,1700
US,8959,D,81000,478,1100
US,8959,P,1019999,403,400
US,8959,S,81000,403,300
US,8959,T,81000,403,1700
US,8971,L,1029999,328,1700
US,8979,T,2040,403,1700
US,8980,L,4012,328,1700
US,8980,P,2440,403,400
US,9003,L,4409,328,1700
US,9003,P,1700,403,400
US,9009,P,24941,403,400
US,9009,T,20000,403,1700
US,9019,N,39000,403,2200
US,9019,P,29666,403,400
US,9019,T,39000,403,1700
US,9029,D,135000,478,1100
US,9029,N,135000,403,2200
US,9029,S,49992,403,300
US,9029,T,135000,403,1700
US,9069,N,72000,403,2200
US,9069,P,43978,403,400
US,9069,T,72000,403,1700
US,9072,S,760000,403,300
US,9089,P,12603,403,400
US,9089,T,34000,403,1700
US,9132,L,8253,328,1700
US,9132,P,11453,403,400
US,9139,N,43000,403,2200
US,9139,P,17435,403,400
US,9139,T,43000,403,1700
US,9141,L,770000,328,1700
US,9149,P,19903,403,400
US,9149,T,23192,403,1700
US,9151,L,1129999,328,1700
US,9169,D,28049,478,1100
US,9169,M,144000,400,600
US,9169,N,57204,403,2200
US,9169,P,39452,403,400
US,9169,S,38029,403,300
US,9169,T,144000,403,1700
US,9179,P,32632,403,400
US,9179,T,49000,403,1700
US,9209,P,15389,403,400
US,9209,T,20000,403,1700
US,9219,P,18403,403,400
US,9219,T,37000,403,1700
US,9220,L,4575,328,1700
US,9220,P,4860,403,400
US,9221,L,4554,328,1700
US,9221,P,1840,403,400
US,9222,L,2138,328,1700
US,9222,P,1070,403,400
US,9223,L,5382,328,1700
US,9223,P,2160,403,400
US,9231,L,3726,328,1700
US,9231,P,5330,403,400
US,9232,L,2429,328,1700
US,9232,P,1000,403,400
US,9234,L,4632,328,1700
US,9234,P,3000,403,400
US,9240,L,4125,328,1700
US,9240,P,11200,403,400
US,9250,L,4187,328,1700
US,9250,P,9840,403,400
US,9259,L,10493,328,1700
US,9259,P,19961,403,400
US,9259,S,124999,403,300
US,9269,P,21612,403,400
US,9269,T,44819,403,1700
US,9279,P,24967,403,400
US,9279,T,47435,403,1700
US,9300,L,3774,328,1700
US,9300,P,3560,403,400
US,9310,L,5509,328,1700
US,9310,P,3240,403,400
US,9320,L,11169,328,1700
US,9320,P,7752,403,400
US,9330,L,4407,328,1700
US,9330,P,7950,403,400
US,9340,L,5100,328,1700
US,9340,P,4080,403,400
US,9341,L,5149,328,1700
US,9341,P,3800,403,400
US,9350,L,7180,328,1700
US,9350,P,2100,403,400
US,9351,L,1752,328,1700
US,9351,P,1600,403,400
US,9352,L,3452,328,1700
US,9352,P,840000,403,400
US,9353,L,2592,328,1700
US,9353,P,1675,403,400
US,9379,P,20665,403,400
US,9379,T,31000,403,1700
US,9390,L,2922,328,1700
US,9390,P,3787,403,400
US,9391,L,2171,328,1700
US,9391,P,4480,403,400
US,9409,P,25354,403,400
US,9409,T,20000,403,1700
US,9410,P,790000,403,400
US,9411,P,1149999,403,400
US,9419,P,26877,403,400
US,9419,T,36915,403,1700
US,9430,L,4120,328,1700
US,9430,P,8088,403,400
US,9444,L,2732,328,1700
US,9444,P,2500,403,400
US,9449,N,29817,403,2200
US,9449,P,11054,403,400
US,9449,T,42987,403,1700
US,9452,L,2259,328,1700
US,9452,P,6080,403,400
US,9453,L,2597,328,1700
US,9453,P,4280,403,400
US,9459,L,7194,328,1700
US,9459,P,9116,403,400
US,9469,N,35000,403,2200
US,9469,P,11516,403,400
US,9469,T,35000,403,1700
US,9472,L,3680,328,1700
US,9472,P,1600,403,400
US,9479,S,15485,403,300
US,9479,T,20066,403,1700
US,9489,D,64000,478,1100
US,9489,N,64000,403,2200
US,9489,P,9706,403,400
US,9489,T,64000,403,1700
US,9490,L,5816,328,1700
US,9490,P,4200,403,400
US,9491,P,6038,403,400
US,9499,L,5178,328,1700
US,9499,P,9555,403,400
US,9500,L,3663,328,1700
US,9500,P,6675,403,400
US,9519,P,12334,403,400
US,9519,T,14024,403,1700
US,9520,L,3908,328,1700
US,9520,P,7040,403,400
US,9530,L,3719,328,1700
US,9530,P,6900,403,400
US,9531,L,7025,328,1700
US,9531,P,3075,403,400
US,9532,L,4800,328,1700
US,9532,P,1520,403,400
US,9540,L,5376,328,1700
US,9540,P,3241,403,400
US,9545,L,3570,328,1700
US,9545,P,1129,403,400
US,9546,L,3296,328,1700
US,9546,P,996,403,400
US,9549,L,5087,328,1700
US,9549,P,1780,403,400
US,9551,P,1099999,403,400
US,9556,L,5770,328,1700
US,9556,P,9300,403,400
US,9559,L,4137,328,1700
US,9559,P,3760,403,400
US,9569,S,1840,403,300
US,9569,T,2220,403,1700
US,9571,L,6070,328,1700
US,9571,P,1642,403,400
US,9579,L,3907,328,1700
US,9579,P,13090,403,400
US,9589,D,31000,478,1100
US,9589,N,31000,403,2200
US,9589,P,9794,403,400
US,9589,T,31000,403,1700
US,9590,L,5511,328,1700
US,9590,P,2275,403,400
US,9591,L,4583,328,1700
US,9591,P,7125,403,400
US,9592,L,1855,328,1700
US,9592,P,1659,403,400
US,9593,L,6390,328,1700
US,9593,P,2025,403,400
US,9601,L,3655,328,1700
US,9601,P,2060,403,400
US,9603,P,1239999,403,400
US,9604,P,1069999,403,400
US,9609,P,2940,403,400
US,9609,T,3994,403,1700
US,9610,L,1548,328,1700
US,9610,P,1318,403,400
US,9611,P,1239999,403,400
US,9629,L,7282,328,1700
US,9629,S,99999,403,300
US,9670,L,2470,328,1700
US,9670,P,960,403,400
US,9680,L,960000,328,1700
US,9682,L,6353,328,1700
US,9682,P,1070,403,400
US,9683,L,2509,328,1700
US,9683,P,1240,403,400
US,9684,L,3410,328,1700
US,9684,P,1010,403,400
US,9689,N,1179999,403,2200
US,9689,P,15027,403,400
US,9701,L,5097,328,1700
US,9701,P,2725,403,400
US,9709,P,11394,403,400
US,9709,T,20000,403,1700
US,9710,L,3561,328,1700
US,9710,P,1920,403,400
US,9711,L,2178,328,1700
US,9711,P,1708,403,400
US,9719,S,23625,403,300
US,9719,T,17713,403,1700
US,9729,D,86000,478,1100
US,9729,L,52657,328,1700
US,9729,M,1059999,400,600
US,9729,N,86000,403,2200
US,9729,P,28686,403,400
US,9729,T,86000,403,1700
US,9730,L,6067,328,1700
US,9730,P,7080,403,400
US,9731,L,5739,328,1700
US,9731,P,2940,403,400
US,9732,L,4480,328,1700
US,9732,P,1690,403,400
US,9741,L,1139999,328,1700
US,9742,L,5071,328,1700
US,9742,P,2450,403,400
US,9744,L,1965,328,1700
US,9744,P,1627,403,400
US,9745,L,2261,328,1700
US,9745,P,1081,403,400
US,9749,N,20000,403,2200
US,9749,P,7200,403,400
US,9749,T,20000,403,1700
US,9750,A,1159999,150,900
US,9750,L,5411,328,1700
US,9750,P,4400,403,400
US,9751,L,5426,328,1700
US,9751,P,2100,403,400
US,9769,L,4108,328,1700
US,9769,P,4920,403,400
US,9770,L,940000,328,1700
US,9770,P,980000,403,400
US,9771,L,3717,328,1700
US,9771,P,1521,403,400
US,9779,L,3534,328,1700
US,9779,P,1373,403,400
US,9779,S,116999,403,300
US,9780,L,1844,328,1700
US,9780,P,1815,403,400
US,9781,L,2460,328,1700
US,9781,P,1718,403,400
US,9784,L,1215,328,1700
US,9784,P,1281,403,400
US,9789,N,20000,403,2200
US,9789,P,3480,403,400
US,9789,S,1099999,403,300
US,9789,T,20000,403,1700
US,9799,L,6242,328,1700
US,9799,P,2500,403,400
US,9809,L,14085,328,1700
US,9809,P,7920,403,400
US,9816,L,840000,328,1700
US,9819,P,13242,403,400
US,9819,T,26219,403,1700
US,9821,L,4861,328,1700
US,9821,P,2625,403,400
US,9822,L,5274,328,1700
US,9822,P,4200,403,400
US,9823,L,4941,328,1700
US,9823,P,2450,403,400
US,9826,L,960000,328,1700
US,9829,N,35000,403,2200
US,9829,P,9047,403,400
US,9829,T,35000,403,1700
US,9830,L,5404,328,1700
US,9830,P,2240,403,400
US,9831,L,4207,328,1700
US,9831,P,3735,403,400
US,9832,L,2533,328,1700
US,9832,P,1299,403,400
US,9835,P,980000,403,400
US,9839,S,4590,403,300
US,9839,T,4482,403,1700
US,9849,L,3501,328,1700
US,9849,P,9440,403,400
US,9850,L,4378,328,1700
US,9850,P,3360,403,400
US,9851,L,4243,328,1700
US,9851,P,2575,403,400
US,9852,L,5234,328,1700
US,9852,P,1660,403,400
US,9859,L,3585,328,1700
US,9859,P,4500,403,400
US,9859,S,950000,403,300
US,9860,L,4700,328,1700
US,9860,P,1106,403,400
US,9876,P,770000,403,400
US,9879,L,5594,328,1700
US,9879,P,5850,403,400
US,9880,L,7321,328,1700
US,9880,P,3303,403,400
US,9882,L,3398,328,1700
US,9882,P,1379,403,400
US,9889,L,5286,328,1700
US,9889,N,20000,403,2200
US,9889,P,1105,403,400
US,9890,L,4700,328,1700
US,9890,P,3640,403,400
US,9891,L,2820,328,1700
US,9891,P,1144,403,400
US,9899,L,4897,328,1700
US,9899,P,6590,403,400
US,9910,L,4074,328,1700
US,9910,P,2080,403,400
US,9911,L,3788,328,1700
US,9911,P,3050,403,400
US,9913,L,2197,328,1700
US,9913,P,1484,403,400
US,9929,D,44000,478,1100
US,9929,N,44000,403,2200
US,9929,P,11801,403,400
US,9929,S,870000,403,300
US,9929,T,44000,403,1700
US,9930,L,5294,328,1700
US,9930,P,4525,403,400
US,9931,L,3506,328,1700
US,9931,P,1710,403,400
US,9939,S,780000,403,300
US,9949,S,2325,403,300
US,9949,T,2250,403,1700
US,9954,P,940000,403,400
US,9960,L,3169,328,1700
US,9960,P,13324,403,400
US,9961,L,2140,328,1700
US,9961,P,1270,403,400
US,9962,L,4628,328,1700
US,9962,P,1800,403,400
US,9963,P,1159999,403,400
US,9964,L,4371,328,1700
US,9964,P,1359,403,400
US,9965,L,1039999,328,1700
US,9965,P,900000,403,400
US,9966,L,820000,328,1700
US,9966,P,1099999,403,400
US,9967,L,1069999,328,1700
US,9967,P,1099999,403,400
US,9969,D,20000,478,1100
US,9969,M,1249999,400,600
US,9969,N,20000,403,2200
US,9969,S,20000,403,300
US,9969,T,20000,403,1700
