,CC,SLIC,SORT,CAP,SPAN,STRT,SLIC_State,Facility Latitude,Facility Longitude
0,PR,89,P,69,403,400, PR,40.5109,-74.3386
1,PR,89,P,69,403,400, NJ,40.5109,-74.3386
2,PR,89,P,69,403,400, NV,40.5109,-74.3386
3,PR,89,T,84,403,1700, PR,40.5109,-74.3386
4,PR,89,T,84,403,1700, NJ,40.5109,-74.3386
5,PR,89,T,84,403,1700, NV,40.5109,-74.3386
6,PR,93,L,254,328,1700, PR,34.2501,-119.2271
7,PR,93,L,254,328,1700, CA,34.2501,-119.2271
8,PR,93,P,111,403,400, PR,34.2501,-119.2271
9,PR,93,P,111,403,400, CA,34.2501,-119.2271
10,PR,94,L,240,328,1700, PR,37.7645,-122.4057
11,PR,94,L,240,328,1700, CA,37.7645,-122.4057
12,PR,94,P,119,403,400, PR,37.7645,-122.4057
13,PR,94,P,119,403,400, CA,37.7645,-122.4057
14,PR,95,L,240,328,1700, PR,36.9846,-122.0348
15,PR,95,L,240,328,1700, CA,36.9846,-122.0348
16,PR,95,P,84,403,400, PR,36.9846,-122.0348
17,PR,95,P,84,403,400, CA,36.9846,-122.0348
18,PR,96,L,82,328,1700, PR,41.487,-120.5433
19,PR,96,L,82,328,1700, CA,41.487,-120.5433
20,PR,96,P,124,403,400, PR,41.487,-120.5433
21,PR,96,P,124,403,400, CA,41.487,-120.5433
22,US,119,L,9124,328,1700, MA,42.1433,-72.6247
23,US,119,P,9413,403,400, MA,42.1433,-72.6247
24,US,119,S,20000,403,300, MA,42.1433,-72.6247
25,US,169,D,83000,478,1100, MA,42.2603,-71.7924
26,US,169,N,83000,403,2200, MA,42.2603,-71.7924
27,US,169,P,6115,403,400, MA,42.2603,-71.7924
28,US,169,S,83000,403,300, MA,42.2603,-71.7924
29,US,169,T,83000,403,1700, MA,42.2603,-71.7924
30,US,189,D,92000,478,1100, MA,42.6001,-71.3046
31,US,189,D,92000,478,1100, PA,42.6001,-71.3046
32,US,189,N,92000,403,2200, MA,42.6001,-71.3046
33,US,189,N,92000,403,2200, PA,42.6001,-71.3046
34,US,189,P,9032,403,400, MA,42.6001,-71.3046
35,US,189,P,9032,403,400, PA,42.6001,-71.3046
36,US,189,T,92000,403,1700, MA,42.6001,-71.3046
37,US,189,T,92000,403,1700, PA,42.6001,-71.3046
38,US,199,L,7343,328,1700, MA,42.5065,-71.0344
39,US,199,L,7343,328,1700, DE,42.5065,-71.0344
40,US,199,P,4632,403,400, MA,42.5065,-71.0344
41,US,199,P,4632,403,400, DE,42.5065,-71.0344
43,US,209,L,15367,328,1700, MA,42.2076,-71.1795
44,US,209,P,14768,403,400, MA,42.2076,-71.1795
45,US,212,L,6688,328,1700, MA,42.3775,-71.0796
46,US,212,P,8547,403,400, MA,42.3775,-71.0796
47,US,219,L,14045,328,1700, MA,42.363,-71.1539
48,US,219,L,14045,328,1700, MD,42.363,-71.1539
49,US,219,P,17542,403,400, MA,42.363,-71.1539
50,US,219,P,17542,403,400, MD,42.363,-71.1539
51,US,219,S,13500,403,300, MA,42.363,-71.1539
52,US,219,S,13500,403,300, MD,42.363,-71.1539
53,US,229,S,3710,403,300, MA,42.3692,-71.027
54,US,229,S,3710,403,300, VA,42.3692,-71.027
55,US,229,T,3657,403,1700, MA,42.3692,-71.027
56,US,229,T,3657,403,1700, VA,42.3692,-71.027
57,US,231,L,8500,328,1700, MA,42.3393,-71.0425
58,US,231,P,6181,403,400, MA,42.3393,-71.0425
59,US,249,L,22215,328,1700, MA,42.0501,-71.0034
60,US,249,L,22215,328,1700, WV,42.0501,-71.0034
61,US,249,P,9660,403,400, MA,42.0501,-71.0034
62,US,249,P,9660,403,400, WV,42.0501,-71.0034
63,US,251,L,2640,328,1700, MA,41.2621,-70.0724
64,US,251,L,2640,328,1700, WV,41.2621,-70.0724
65,US,251,P,3075,403,400, MA,41.2621,-70.0724
66,US,251,P,3075,403,400, WV,41.2621,-70.0724
67,US,259,L,3501,328,1700, MA,41.7799,-70.5312
68,US,259,S,20000,403,300, MA,41.7799,-70.5312
69,US,269,L,4084,328,1700, MA,41.6814,-70.2571
70,US,269,S,20000,403,300, MA,41.6814,-70.2571
71,US,299,N,54000,403,2200, RI,41.7335,-71.4462
72,US,299,N,54000,403,2200, SC,41.7335,-71.4462
73,US,299,P,26600,403,400, RI,41.7335,-71.4462
74,US,299,P,26600,403,400, SC,41.7335,-71.4462
75,US,299,T,54000,403,1700, RI,41.7335,-71.4462
76,US,299,T,54000,403,1700, SC,41.7335,-71.4462
77,US,309,S,950000,403,300, NH,42.9443,-71.4366
78,US,309,S,950000,403,300, GA,42.9443,-71.4366
79,US,309,T,1109999,403,1700, NH,42.9443,-71.4366
80,US,309,T,1109999,403,1700, GA,42.9443,-71.4366
81,US,319,L,7314,328,1700, NH,42.9432,-71.4525
82,US,319,L,7314,328,1700, GA,42.9432,-71.4525
83,US,319,P,14640,403,400, NH,42.9432,-71.4525
84,US,319,P,14640,403,400, GA,42.9432,-71.4525
85,US,399,L,3772,328,1700, NH,42.7564,-71.4905
86,US,399,P,13643,403,400, NH,42.7564,-71.4905
87,US,419,L,14227,328,1700, ME,43.6405,-70.3217
88,US,419,P,11900,403,400, ME,43.6405,-70.3217
89,US,422,L,4270,328,1700, ME,44.0445,-70.2931
90,US,422,P,10286,403,400, ME,44.0445,-70.2931
102,US,609,L,20972,328,1700, CT,41.9271,-72.6319
103,US,609,L,20972,328,1700, IL,41.9271,-72.6319
104,US,609,N,20580,403,2200, CT,41.9271,-72.6319
105,US,609,N,20580,403,2200, IL,41.9271,-72.6319
106,US,609,P,6150,403,400, CT,41.9271,-72.6319
107,US,609,P,6150,403,400, IL,41.9271,-72.6319
108,US,609,S,2850,403,300, CT,41.9271,-72.6319
109,US,609,S,2850,403,300, IL,41.9271,-72.6319
110,US,609,T,23324,403,1700, CT,41.9271,-72.6319
111,US,609,T,23324,403,1700, IL,41.9271,-72.6319
112,US,619,D,34205,478,1100, CT,41.7453,-72.6645
113,US,619,N,40000,403,2200, CT,41.7453,-72.6645
114,US,619,P,6253,403,400, CT,41.7453,-72.6645
115,US,619,T,40000,403,1700, CT,41.7453,-72.6645
116,US,635,L,3158,328,1700, CT,41.3677,-72.126
117,US,635,L,3158,328,1700, MO,41.3677,-72.126
118,US,635,P,2400,403,400, CT,41.3677,-72.126
119,US,635,P,2400,403,400, MO,41.3677,-72.126
120,US,647,L,3906,328,1700, CT,41.2478,-72.9924
121,US,647,L,3906,328,1700, MO,41.2478,-72.9924
122,US,647,P,4840,403,400, CT,41.2478,-72.9924
123,US,647,P,4840,403,400, MO,41.2478,-72.9924
124,US,649,L,10167,328,1700, CT,41.5651,-72.1535
125,US,649,P,9540,403,400, CT,41.5651,-72.1535
126,US,652,L,5102,328,1700, CT,41.3682,-72.883
127,US,652,L,5102,328,1700, MO,41.3682,-72.883
128,US,652,P,7449,403,400, CT,41.3682,-72.883
129,US,652,P,7449,403,400, MO,41.3682,-72.883
130,US,669,N,34000,403,2200, CT,41.1728,-73.1503
131,US,669,P,13000,403,400, CT,41.1728,-73.1503
132,US,669,T,34000,403,1700, CT,41.1728,-73.1503
133,US,679,P,11001,403,400, CT,41.6073,-73.0803
134,US,679,T,20000,403,1700, CT,41.6073,-73.0803
135,US,699,L,5777,328,1700, CT,41.09,-73.4255
136,US,699,P,11845,403,400, CT,41.09,-73.4255
137,US,709,D,160000,478,1100, NJ,40.7539,-74.0636
138,US,709,N,160000,403,2200, NJ,40.7539,-74.0636
139,US,709,P,19832,403,400, NJ,40.7539,-74.0636
140,US,709,T,160000,403,1700, NJ,40.7539,-74.0636
141,US,719,L,8720,328,1700, NJ,40.7526,-74.1942
142,US,719,L,8720,328,1700, AR,40.7526,-74.1942
143,US,719,P,7552,403,400, NJ,40.7526,-74.1942
144,US,719,P,7552,403,400, AR,40.7526,-74.1942
145,US,727,L,1179999,328,1700, NJ,28.93368,-75.30048000000002
146,US,727,L,1179999,328,1700, AR,28.93368,-75.30048000000002
151,US,739,P,14880,403,400, NJ,40.7539,-74.0636
152,US,739,P,14880,403,400, OK,40.7539,-74.0636
153,US,759,N,41599,403,2200, NJ,40.8872,-74.1028
154,US,759,N,41599,403,2200, TX,40.8872,-74.1028
155,US,759,P,20900,403,400, NJ,40.8872,-74.1028
156,US,759,P,20900,403,400, TX,40.8872,-74.1028
157,US,759,T,36000,403,1700, NJ,40.8872,-74.1028
158,US,759,T,36000,403,1700, TX,40.8872,-74.1028
159,US,779,L,7320,328,1700, NJ,40.2833,-74.0781
160,US,779,L,7320,328,1700, TX,40.2833,-74.0781
161,US,779,P,11550,403,400, NJ,40.2833,-74.0781
162,US,779,P,11550,403,400, TX,40.2833,-74.0781
163,US,784,L,11700,328,1700, NJ,40.909,-74.7565
164,US,784,L,11700,328,1700, TX,40.909,-74.7565
165,US,784,P,14550,403,400, NJ,40.909,-74.7565
166,US,784,P,14550,403,400, TX,40.909,-74.7565
167,US,789,P,24800,403,400, NJ,40.5722,-74.5611
168,US,789,P,24800,403,400, TX,40.5722,-74.5611
169,US,789,T,27630,403,1700, NJ,40.5722,-74.5611
170,US,789,T,27630,403,1700, TX,40.5722,-74.5611
171,US,799,D,77000,478,1100, NJ,40.8614,-74.4369
172,US,799,D,77000,478,1100, TX,40.8614,-74.4369
173,US,799,N,77000,403,2200, NJ,40.8614,-74.4369
174,US,799,N,77000,403,2200, TX,40.8614,-74.4369
175,US,799,P,9240,403,400, NJ,40.8614,-74.4369
176,US,799,P,9240,403,400, TX,40.8614,-74.4369
177,US,799,T,77000,403,1700, NJ,40.8614,-74.4369
178,US,799,T,77000,403,1700, TX,40.8614,-74.4369
179,US,819,N,88000,403,2200, NJ,39.8649,-75.0424
180,US,819,P,29008,403,400, NJ,39.8649,-75.0424
181,US,819,T,88000,403,1700, NJ,39.8649,-75.0424
182,US,826,L,1109999,328,1700, NJ,39.8649,-75.0424
183,US,826,L,1109999,328,1700, WY,39.8649,-75.0424
184,US,829,L,3893,328,1700, NJ,39.4147,-74.525
185,US,829,L,3893,328,1700, WY,39.4147,-74.525
186,US,829,P,6000,403,400, NJ,39.4147,-74.525
187,US,829,P,6000,403,400, WY,39.4147,-74.525
188,US,839,L,1636,328,1700, NJ,39.4815,-75.0218
189,US,839,P,4040,403,400, NJ,39.4815,-75.0218
190,US,869,L,6120,328,1700, NJ,40.2366,-74.7203
191,US,869,P,11900,403,400, NJ,40.2366,-74.7203
192,US,871,L,4393,328,1700, NJ,40.0727,-74.1796
193,US,871,L,4393,328,1700, NM,40.0727,-74.1796
194,US,871,P,10100,403,400, NJ,40.0727,-74.1796
195,US,871,P,10100,403,400, NM,40.0727,-74.1796
196,US,874,L,1119999,328,1700, NJ,36.7324,-108.2418
197,US,874,L,1119999,328,1700, NM,36.7324,-108.2418
199,US,899,P,17323,403,400, NJ,40.5109,-74.3386
200,US,899,T,102000,403,1700, NJ,40.5109,-74.3386
201,US,1006,P,1009999,403,400, NY,40.762,-73.9989
202,US,1007,L,7202,328,1700, NY,40.733875,-73.936125
203,US,1007,P,9381,403,400, NY,40.733875,-73.936125
204,US,1009,N,25000,403,2200, NY,40.762,-73.9989
205,US,1009,P,28260,403,400, NY,40.762,-73.9989
206,US,1009,S,25000,403,300, NY,40.762,-73.9989
207,US,1009,T,42527,403,1700, NY,40.762,-73.9989
208,US,1011,P,1109999,403,400, NY,40.762,-73.9989
209,US,1014,L,4507,328,1700, NY,40.8116,-73.9291
210,US,1014,P,5901,403,400, NY,40.8116,-73.9291
211,US,1017,P,810000,403,400, NY,40.762,-73.9989
212,US,1029,L,14563,328,1700, NY,40.726,-74.0094
213,US,1029,P,23255,403,400, NY,40.726,-74.0094
214,US,1049,L,9299,328,1700, NY,40.8176,-73.8385
215,US,1049,P,9844,403,400, NY,40.8176,-73.8385
216,US,1069,L,8947,328,1700, NY,41.0636,-73.819
217,US,1069,P,10099,403,400, NY,41.0636,-73.819
218,US,1089,L,8149,328,1700, NY,40.8903,-73.8196
219,US,1089,P,4161,403,400, NY,40.8903,-73.8196
220,US,1119,N,47000,403,2200, NY,40.7245,-73.9152
221,US,1119,P,15811,403,400, NY,40.7245,-73.9152
222,US,1119,T,47000,403,1700, NY,40.7245,-73.9152
223,US,1129,L,12103,328,1700, NY,40.6426,-73.916
224,US,1129,P,20460,403,400, NY,40.6426,-73.916
225,US,1149,T,1179999,403,1700, NY,40.6527,-73.7952
226,US,1159,N,48000,403,2200, NY,40.7214,-73.6065
227,US,1159,P,10836,403,400, NY,40.7214,-73.6065
228,US,1159,T,49166,403,1700, NY,40.7214,-73.6065
229,US,1189,P,6972,403,400, NY,40.7545,-73.4196
230,US,1189,T,35687,403,1700, NY,40.7545,-73.4196
231,US,1229,N,29000,403,2200, NY,42.7524,-73.7776
232,US,1229,P,10815,403,400, NY,42.7524,-73.7776
233,US,1229,T,29000,403,1700, NY,42.7524,-73.7776
234,US,1239,S,1880,403,300, NY,42.7445,-73.8129
235,US,1239,T,2320,403,1700, NY,42.7445,-73.8129
236,US,1249,L,3628,328,1700, NY,41.9482,-73.992
237,US,1249,P,4200,403,400, NY,41.9482,-73.992
238,US,1249,S,850000,403,300, NY,41.9482,-73.992
239,US,1251,L,2250,328,1700, NY,41.3453,-74.2765
240,US,1251,P,1605,403,400, NY,41.3453,-74.2765
241,US,1255,P,3693,403,400, NY,41.4976,-74.0221
243,US,1269,L,3888,328,1700, NY,41.4976,-74.0221
244,US,1269,P,4300,403,400, NY,41.4976,-74.0221
245,US,1289,P,4300,403,400, NY,44.7035,-73.5409
246,US,1289,T,20000,403,1700, NY,44.7035,-73.5409
247,US,1302,L,2834,328,1700, NY,42.6036,-76.1641
248,US,1302,P,1389,403,400, NY,42.6036,-76.1641
249,US,1319,S,2220,403,300, NY,43.1114,-76.1253
250,US,1319,T,2000,403,1700, NY,43.1114,-76.1253
251,US,1329,N,84000,403,2200, NY,43.1088,-76.0772
252,US,1329,P,6867,403,400, NY,43.1088,-76.0772
253,US,1329,T,84000,403,1700, NY,43.1088,-76.0772
254,US,1359,S,1099999,403,300, NY,43.0916,-75.3129
255,US,1361,L,4167,328,1700, NY,44.66990000000001,-74.9581
256,US,1361,P,1760,403,400, NY,44.66990000000001,-74.9581
257,US,1399,L,3459,328,1700, NY,42.109,-75.9781
258,US,1399,P,2579,403,400, NY,42.109,-75.9781
259,US,1401,L,2806,328,1700, NY,42.4841,-79.3459
260,US,1401,P,1223,403,400, NY,42.4841,-79.3459
261,US,1429,N,44000,403,2200, NY,42.8847,-78.8037
262,US,1429,P,8316,403,400, NY,42.8847,-78.8037
263,US,1429,S,44000,403,300, NY,42.8847,-78.8037
264,US,1429,T,44000,403,1700, NY,42.8847,-78.8037
265,US,1439,S,2592,403,300, NY,42.93699999999999,-78.7442
266,US,1439,T,1540,403,1700, NY,42.93699999999999,-78.7442
267,US,1449,L,13026,328,1700, NY,43.0593,-77.6073
268,US,1449,P,12000,403,400, NY,43.0593,-77.6073
269,US,1469,L,5796,328,1700, NY,43.1664,-77.6052
270,US,1469,P,5956,403,400, NY,43.1664,-77.6052
271,US,1471,L,4167,328,1700, NY,42.0849,-78.4895
272,US,1471,P,2175,403,400, NY,42.0849,-78.4895
273,US,1481,L,4251,328,1700, NY,42.4695,-76.4648
274,US,1481,P,2375,403,400, NY,42.4695,-76.4648
275,US,1482,L,4834,328,1700, NY,42.1592,-77.1117
276,US,1482,P,2220,403,400, NY,42.1592,-77.1117
277,US,1499,S,770000,403,300, NY,42.1677,-76.8212
278,US,1501,L,4675,328,1700, PA,40.72,-80.2959
279,US,1501,P,1960,403,400, PA,40.72,-80.2959
280,US,1509,A,870000,150,900, PA,40.49800000000001,-80.2141
281,US,1509,S,4640,403,300, PA,40.49800000000001,-80.2141
282,US,1509,T,3160,403,1700, PA,40.49800000000001,-80.2141
283,US,1519,L,4600,328,1700, PA,40.4468,-80.0826
284,US,1519,P,11250,403,400, PA,40.4468,-80.0826
287,US,1529,L,13850,328,1700, PA,40.4575,-80.0302
288,US,1529,P,11250,403,400, PA,40.4575,-80.0302
289,US,1559,L,4003,328,1700, PA,40.2824,-78.8433
290,US,1559,P,4600,403,400, PA,40.2824,-78.8433
291,US,1569,D,136000,478,1100, PA,40.2252,-79.6116
292,US,1569,N,136000,403,2200, PA,40.2252,-79.6116
293,US,1569,P,11676,403,400, PA,40.2252,-79.6116
294,US,1569,S,136000,403,300, PA,40.2252,-79.6116
295,US,1569,T,136000,403,1700, PA,40.2252,-79.6116
296,US,1589,L,5482,328,1700, PA,41.1255,-78.7477
297,US,1589,P,4800,403,400, PA,41.1255,-78.7477
298,US,1631,L,4856,328,1700, PA,41.6217,-80.2082
299,US,1631,P,1190,403,400, PA,41.6217,-80.2082
300,US,1632,L,3661,328,1700, PA,41.6606,-78.8
301,US,1632,P,1820,403,400, PA,41.6606,-78.8
302,US,1649,L,5485,328,1700, PA,42.08600000000001,-80.0743
303,US,1649,P,6260,403,400, PA,42.08600000000001,-80.0743
304,US,1669,L,4075,328,1700, PA,40.4993,-78.3976
305,US,1669,P,2202,403,400, PA,40.4993,-78.3976
306,US,1709,S,1900,403,300, PA,40.1955,-76.7421
307,US,1709,T,2000,403,1700, PA,40.1955,-76.7421
308,US,1714,L,860000,328,1700, PA,40.3237,-76.7107
309,US,1719,D,83000,478,1100, PA,40.2429,-76.8472
310,US,1719,N,83000,403,2200, PA,40.2429,-76.8472
311,US,1719,P,6256,403,400, PA,40.2429,-76.8472
312,US,1719,T,83000,403,1700, PA,40.2429,-76.8472
313,US,1731,L,674,328,1700, PA,39.7721,-77.2408
314,US,1731,P,2400,403,400, PA,39.7721,-77.2408
315,US,1749,L,5141,328,1700, PA,40.049,-76.7468
316,US,1749,P,4640,403,400, PA,40.049,-76.7468
317,US,1749,S,1199999,403,300, PA,40.049,-76.7468
318,US,1759,P,17150,403,400, PA,40.0899,-76.3498
319,US,1759,T,60000,403,1700, PA,40.0899,-76.3498
320,US,1789,L,4006,328,1700, PA,40.7812,-76.8654
321,US,1789,P,3584,403,400, PA,40.7812,-76.8654
323,US,1819,L,21828,328,1700, PA,40.6675,-75.3848
324,US,1819,P,13851,403,400, PA,40.6675,-75.3848
325,US,1859,L,9415,328,1700, PA,41.3883,-75.7125
326,US,1859,P,4488,403,400, PA,41.3883,-75.7125
327,US,1869,L,7727,328,1700, PA,41.325,-75.7517
328,US,1869,P,6375,403,400, PA,41.325,-75.7517
329,US,1909,D,102000,478,1100, PA,40.1607,-75.1392
330,US,1909,N,102000,403,2200, PA,40.1607,-75.1392
331,US,1909,P,8631,403,400, PA,40.1607,-75.1392
332,US,1909,T,102000,403,1700, PA,40.1607,-75.1392
333,US,1919,P,10985,403,400, PA,39.9137,-75.1469
334,US,1919,T,44000,403,1700, PA,39.9137,-75.1469
335,US,1939,P,17658,403,400, PA,39.9881,-75.5813
336,US,1939,T,53000,403,1700, PA,39.9881,-75.5813
337,US,1949,D,72797,478,1100, PA,39.8586,-75.2606
338,US,1949,N,98916,403,2200, PA,39.8586,-75.2606
339,US,1949,P,13197,403,400, PA,39.8586,-75.2606
340,US,1949,T,73205,403,1700, PA,39.8586,-75.2606
341,US,1969,L,7140,328,1700, PA,40.3903,-75.9375
342,US,1969,P,8715,403,400, PA,40.3903,-75.9375
343,US,1979,L,7485,328,1700, DE,39.6893,-75.6998
344,US,1979,P,9020,403,400, DE,39.6893,-75.6998
345,US,1999,L,3107,328,1700, DE,38.9426,-75.5641
346,US,1999,P,6360,403,400, DE,38.9426,-75.5641
347,US,2019,L,17343,328,1700, MD,38.9406,-76.8634
348,US,2019,P,15026,403,400, MD,38.9406,-76.8634
349,US,2039,L,4673,328,1700, MD,38.942,-76.8684
350,US,2039,P,11100,403,400, MD,38.942,-76.8684
351,US,2049,L,4747,328,1700, MD,39.118,-77.193
352,US,2049,P,8600,403,400, MD,39.118,-77.193
355,US,2059,L,2001,328,1700, MD,38.6199,-76.9079
356,US,2059,P,4000,403,400, MD,38.6199,-76.9079
357,US,2079,D,99000,478,1100, MD,39.0934,-76.8994
358,US,2079,N,99000,403,2200, MD,39.0934,-76.8994
359,US,2079,P,14025,403,400, MD,39.0934,-76.8994
360,US,2079,T,99000,403,1700, MD,39.0934,-76.8994
361,US,2119,L,12344,328,1700, MD,39.5203,-76.6433
362,US,2119,P,9625,403,400, MD,39.5203,-76.6433
363,US,2121,P,920000,403,400, MD,39.2626,-76.675
364,US,2127,P,1209999,403,400, MD,39.2626,-76.675
365,US,2129,N,75000,403,2200, MD,39.2626,-76.675
366,US,2129,P,3306,403,400, MD,39.2626,-76.675
367,US,2129,T,75000,403,1700, MD,39.2626,-76.675
368,US,2139,S,800000,403,300, MD,39.1877,-76.6611
369,US,2139,T,1039999,403,1700, MD,39.1877,-76.6611
370,US,2159,L,2893,328,1700, MD,39.6313,-78.766
371,US,2159,P,3640,403,400, MD,39.6313,-78.766
372,US,2169,L,5101,328,1700, MD,39.2996,-76.5375
373,US,2169,P,6914,403,400, MD,39.2996,-76.5375
374,US,2174,L,960000,328,1700, MD,39.62388571428571,-77.77865714285714
375,US,2179,L,8352,328,1700, MD,39.6126,-77.7308
376,US,2179,P,6360,403,400, MD,39.6126,-77.7308
377,US,2189,L,1801,328,1700, MD,38.404,-75.5778
378,US,2189,P,2629,403,400, MD,38.404,-75.5778
379,US,2199,L,4104,328,1700, MD,39.3631,-77.4326
380,US,2199,P,6300,403,400, MD,39.3631,-77.4326
381,US,2209,L,16236,328,1700, VA,38.8907,-77.4632
382,US,2209,P,18906,403,400, VA,38.8907,-77.4632
383,US,2229,L,7087,328,1700, VA,38.8034,-77.0911
384,US,2229,P,8900,403,400, VA,38.8034,-77.0911
385,US,2241,L,5246,328,1700, VA,37.7757,-76.5148
386,US,2241,P,2360,403,400, VA,37.7757,-76.5148
387,US,2249,L,4616,328,1700, VA,38.945,-77.4567
388,US,2249,P,14375,403,400, VA,38.945,-77.4567
389,US,2289,L,3884,328,1700, VA,38.0323,-78.4856
390,US,2289,P,6825,403,400, VA,38.0323,-78.4856
391,US,2299,S,970000,403,300, VA,38.03982,-78.49024
392,US,2309,S,1079999,403,300, VA,37.5017,-77.3369
393,US,2309,T,1209999,403,1700, VA,37.5017,-77.3369
394,US,2329,N,81000,403,2200, VA,37.4029,-77.4163
395,US,2329,P,9818,403,400, VA,37.4029,-77.4163
396,US,2329,T,81000,403,1700, VA,37.4029,-77.4163
397,US,2349,L,11727,328,1700, VA,36.8939,-76.1905
398,US,2349,P,12840,403,400, VA,36.8939,-76.1905
399,US,2363,P,1209999,403,400, VA,37.0917,-76.4765
400,US,2369,L,5180,328,1700, VA,37.0917,-76.4765
401,US,2369,P,9000,403,400, VA,37.0917,-76.4765
402,US,2394,L,3696,328,1700, VA,37.0403,-78.4836
403,US,2394,P,2160,403,400, VA,37.0403,-78.4836
404,US,2409,N,72000,403,2200, VA,37.3173,-79.9796
405,US,2409,P,3432,403,400, VA,37.3173,-79.9796
406,US,2409,T,72000,403,1700, VA,37.3173,-79.9796
407,US,2429,P,9000,403,400, VA,36.6164,-82.1254
408,US,2429,T,20000,403,1700, VA,36.6164,-82.1254
409,US,2451,L,5886,328,1700, VA,36.5952,-79.428
410,US,2451,P,5880,403,400, VA,36.5952,-79.428
411,US,2499,L,5103,328,1700, WV,37.7806,-80.3942
412,US,2499,P,1980,403,400, WV,37.7806,-80.3942
413,US,2519,S,1009999,403,300, WV,38.3437,-81.6087
414,US,2539,N,20000,403,2200, WV,38.3666,-81.703
415,US,2539,P,6720,403,400, WV,38.3666,-81.703
416,US,2539,T,20000,403,1700, WV,38.3666,-81.703
417,US,2589,S,800000,403,300, WV,37.7807,-81.1146
418,US,2632,L,6284,328,1700, WV,39.2544,-80.3176
419,US,2632,P,1980,403,400, WV,39.2544,-80.3176
420,US,2711,L,7692,328,1700, NC,36.1563,-80.2431
421,US,2711,P,8080,403,400, NC,36.1563,-80.2431
422,US,2721,L,4932,328,1700, NC,35.9162,-80.0054
423,US,2721,P,3960,403,400, NC,35.9162,-80.0054
424,US,2749,D,142000,478,1100, NC,36.0568,-79.8555
425,US,2749,N,142000,403,2200, NC,36.0568,-79.8555
426,US,2749,P,8640,403,400, NC,36.0568,-79.8555
427,US,2749,T,142000,403,1700, NC,36.0568,-79.8555
428,US,2751,L,1896,328,1700, NC,35.837,-78.6031
429,US,2751,P,1860,403,400, NC,35.837,-78.6031
430,US,2754,L,8170,328,1700, NC,35.911,-79.0564
431,US,2754,P,4095,403,400, NC,35.911,-79.0564
432,US,2769,N,63000,403,2200, NC,35.837,-78.6031
433,US,2769,P,40822,403,400, NC,35.837,-78.6031
434,US,2769,T,63000,403,1700, NC,35.837,-78.6031
435,US,2779,A,810000,150,900, NC,35.8649,-78.8075
436,US,2779,S,4551,403,300, NC,35.8649,-78.8075
437,US,2779,T,20000,403,1700, NC,35.8649,-78.8075
438,US,2781,L,4686,328,1700, NC,35.6028,-77.4942
439,US,2781,P,3120,403,400, NC,35.6028,-77.4942
440,US,2782,L,4234,328,1700, NC,35.4164,-77.9818
441,US,2782,P,3390,403,400, NC,35.4164,-77.9818
442,US,2797,L,1583,328,1700, NC,35.9302,-75.6882
443,US,2797,P,1760,403,400, NC,35.9302,-75.6882
444,US,2801,L,2583,328,1700, NC,35.5273,-80.611
445,US,2801,P,3360,403,400, NC,35.5273,-80.611
446,US,2802,L,4906,328,1700, NC,35.2841,-81.1941
447,US,2802,P,2000,403,400, NC,35.2841,-81.1941
448,US,2809,S,999999,403,300, NC,35.8185,-80.8736
449,US,2809,T,820000,403,1700, NC,35.8185,-80.8736
450,US,2811,L,4110,328,1700, NC,35.0037,-80.5725
451,US,2811,P,4920,403,400, NC,35.0037,-80.5725
452,US,2814,L,4177,328,1700, NC,35.6483,-80.473
453,US,2814,P,2600,403,400, NC,35.6483,-80.473
454,US,2829,P,23560,403,400, NC,35.2735,-80.8113
455,US,2829,T,34000,403,1700, NC,35.2735,-80.8113
456,US,2832,L,3288,328,1700, NC,35.1938,-79.3734
457,US,2832,P,3840,403,400, NC,35.1938,-79.3734
458,US,2834,L,3946,328,1700, NC,34.6058,-78.9998
459,US,2834,P,2275,403,400, NC,34.6058,-78.9998
460,US,2839,S,20000,403,300, NC,35.1971,-80.9358
461,US,2839,T,4680,403,1700, NC,35.1971,-80.9358
462,US,2851,L,4768,328,1700, NC,34.7469,-77.3824
